ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_147717_897221,147717.09380000,897220.94160000,BC,1076479,210,DAVIS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,210,210,,,,,,,,,DAVIS,ROAD,RD,,,48081,,219,202,202,2013-12-23,-72.13430105416961,42.32372734238912,723100
M_154683_896013,154682.77120000,896012.54680000,BC,1076744,220,NORTH BROOKFIELD ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,220,220,,,,,,,,,NORTH BROOKFIELD,ROAD,RD,,,48117,,219,202,202,2013-12-23,-72.0497008525978,42.31328383494892,723100
M_145405_897316,145404.58200000,897315.61560000,BMP,1076753,330,UNITAS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,330,330,,,,,,,,,UNITAS,ROAD,RD,,,48145,,219,202,202,2013-12-23,-72.16236447646403,42.324421409188986,723100
M_149008_897470,149007.79220000,897470.37640000,BMP,1076359,275,BARRE CUT OFF ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,275,275,,,,,,,,,BARRE CUT OFF,ROAD,RD,,,48065,,219,202,202,2013-12-23,-72.11866468675348,42.32605825193511,723100
M_148318_896929,148318.06680000,896929.04110000,BC,1076471,159A,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,159,159,A,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2016-06-07,-72.12698422733052,42.32113947838503,723100
M_148318_896929,148318.06680000,896929.04110000,BC,1076347,159B,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,159,159,B,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2016-06-07,-72.12698422733052,42.32113947838503,723100
M_153760_896455,153759.80500000,896455.25740000,BMP,1076726,1115,WORCESTER ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1115,1115,,,,,,,,,WORCESTER,ROAD,RD,,,47591,,219,202,202,2016-06-07,-72.0609314863403,42.31721531912268,723100
M_148318_896929,148318.06680000,896929.04110000,BC,1076674,159,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,159,159,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2016-06-07,-72.12698422733052,42.32113947838503,723100
M_145995_896652,145995.05640000,896651.75800000,BC,1076765,695,WEST ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,695,695,,,,,,,,,WEST,ROAD,RD,,,48154,,219,202,202,2013-12-23,-72.1551391249109,42.318486027094224,723100
M_146150_896861,146150.21280000,896860.55600000,BMP,1076578,791,WINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,791,791,,,,,,,,,WINE,ROAD,RD,,,48158,,219,202,202,2013-12-23,-72.15327638082465,42.32037646489902,723100
M_150794_897836,150794.20180000,897836.18140000,BC,1076725,1045,OAKHAM ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1045,1045,,,,,,,,,OAKHAM,ROAD,RD,,,48120,,219,202,202,2013-12-23,-72.09702279643984,42.329466063844315,723100
M_147023_897047,147023.42500000,897046.79180000,BC,1076580,80,SLEIN ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,80,80,,,,,,,,,SLEIN,ROAD,RD,,,48135,,219,202,202,2013-12-23,-72.14270047222814,42.32211279308978,723100
M_147566_894169,147565.96120000,894169.37380000,BMP,1076395,790,WEST BROOKFIELD ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,790,790,,,,,,,,,WEST BROOKFIELD,ROAD,RD,,,48153,,219,202,202,2013-12-23,-72.13585855790691,42.29624507571329,723100
M_148419_897301,148418.50800000,897300.87000000,BC,1076482,254,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,254,254,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2013-12-23,-72.12579885400449,42.324493550522114,723100
M_144659_896722,144659.07620000,896722.11060000,BC,1076450,686,UNITAS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,686,686,,,,,,,,,UNITAS,ROAD,RD,,,48145,,219,202,202,2013-12-23,-72.17135208423532,42.31902585902625,723100
M_143907_894920,143907.15380000,894920.06240000,BMP,1076606,1290,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1290,1290,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.18029907043814,42.3027491122494,723100
M_146065_896589,146064.88060000,896589.23340000,PC,1076449,678,WEST ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,678,678,,,,,,,,,WEST,ROAD,RD,,,48154,,219,202,202,2013-12-23,-72.15428629602116,42.31792796827193,723100
M_142353_895697,142352.80980000,895697.09520000,BC,1076352,1930,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1930,1930,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.19922671311318,42.30963126129023,723100
M_148271_897525,148271.30340000,897524.81680000,BMP,1076686,281,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,281,281,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2013-12-23,-72.12760470168101,42.3264999185179,723100
M_149312_896220,149311.77600000,896219.59020000,BMP,1076484,314,UTLEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,314,314,,,,,,,,,UTLEY,ROAD,RD,,,48146,,219,202,202,2013-12-23,-72.11486733064979,42.31481768209589,723100
M_146701_894819,146701.13540000,894818.57160000,BMP,1076625,320,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,320,320,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.14640541441374,42.30203105054021,723100
M_146112_898573,146112.30700000,898573.38380000,BMP,1076668,1391,WEST ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1391,1391,,,,,,,,,WEST,ROAD,RD,,,48154,,219,202,202,2013-12-23,-72.15389550879958,42.33579372102046,723100
M_149678_900662,149678.36680000,900662.40700000,PC,1076816,0,OLD TURNPIKE ROAD,,,,,32-2,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,0,0,,,,,,,,,OLD TURNPIKE,ROAD,RD,,,48122,,219,202,202,2013-12-23,-72.11080652069195,42.35483829576009,723100
M_146476_893896,146475.75060000,893895.85340000,BMP,1076666,135,PIERCE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,135,135,,,,,,,,,PIERCE,ROAD,RD,,,48125,,219,202,202,2013-12-23,-72.14905360944097,42.29370873956453,723100
M_149454_898276,149454.17700000,898276.03460000,BMP,1076701,1242,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1242,1242,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11331937894322,42.33334029873711,723100
M_145831_895714,145831.07680000,895714.34220000,BMP,1076754,350,PADRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,350,350,,,,,,,,,PADRE,ROAD,RD,,,48124,,219,202,202,2013-12-23,-72.15704070191147,42.310035487240604,723100
M_143853_895010,143852.86660000,895010.12080000,BMP,1076341,1330,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1330,1330,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.18096616226045,42.30355597257779,723100
M_150386_895518,150386.49060000,895517.73760000,BC,1076600,111,HARRINGTON ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,111,111,,,,,,,,,HARRINGTON,ROAD,RD,,,48090,,219,202,202,2013-12-23,-72.10177100916319,42.30856815436999,723100
M_149515_900740,149514.80340000,900740.35120000,BMP,1076617,2078,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,2078,2078,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11279859023647,42.35552943124058,723100
M_145858_894722,145857.99200000,894722.37260000,BMP,1076500,611,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,611,611,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.15662162463607,42.30110702681584,723100
M_148725_897106,148725.25760000,897105.86720000,BMP,1076418,163,BARRE CUT OFF ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,163,163,,,,,,,,,BARRE CUT OFF,ROAD,RD,,,48065,,219,202,202,2013-12-23,-72.12206017418491,42.322758216506216,723100
M_144335_894972,144335.30140000,894972.10740000,BMP,1076700,1115,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1115,1115,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.17511167148115,42.303248278514246,723100
M_153170_896368,153170.18770000,896367.91080000,DBMP,1076713,775,MOORE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,775,775,,,,,,,,,MOORE,ROAD,RD,,,48112,,219,202,202,2016-06-07,-72.0680767607466,42.31639383587725,723100
M_147626_895461,147634.17360000,895502.46040000,BMP,1076691,340,WEST BROOKFIELD ROAD,,MASSACHUSETTS STATE POLICE ACADEMY,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,340,340,,,,,,,,,WEST BROOKFIELD,ROAD,RD,,,48153,20254,219,202,202,2016-06-07,-72.13515176624755,42.30825095554645,723100
M_149435_894909,149435.32960000,894909.19660000,BMP,1076381,531,WEBB ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,531,531,,,,,,,,,WEBB,ROAD,RD,,,47933,,219,202,202,2013-12-23,-72.11325434776165,42.30302867711194,723100
M_149344_899252,149344.13420000,899251.68940000,BC,1076672,1550,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1550,1550,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11473990455133,42.34211659039614,723100
M_146140_894193,146139.93320000,894192.90100000,BC,1076790,238,BARR ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,238,238,,,,,,,,,BARR,ROAD,RD,,,48064,,219,202,202,2013-12-23,-72.15315327152149,42.296359875440785,723100
M_147626_892957,147626.23200000,892956.64880000,BC,1076526,1185,WEST BROOKFIELD ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1185,1185,,,,,,,,,WEST BROOKFIELD,ROAD,RD,,,48153,,219,202,202,2013-12-23,-72.13501820523267,42.28533136068758,723100
M_150360_897195,150360.14040000,897195.37060000,BC,1076710,753,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,753,753,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.10223427202239,42.32366961259292,723100
M_152228_898361,152227.68880000,898360.97280000,BMP,1076738,1670,OAKHAM ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1670,1670,,,,,,,,,OAKHAM,ROAD,RD,,,48120,,219,202,202,2013-12-23,-72.07967385672497,42.334279580972144,723100
M_146947_896818,146947.05040000,896817.53620000,BMP,1076696,505,WINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,505,505,,,,,,,,,WINE,ROAD,RD,,,48158,,219,202,202,2013-12-23,-72.14360601147857,42.3200437114295,723100
M_149434_899838,149434.07660000,899838.13460000,BMP,1076383,1772,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1772,1772,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11369964080295,42.34740194077672,723100
M_148017_893384,148017.20340000,893384.26380000,BC,1076719,0,PROUTY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,0,0,,,,,,,,,PROUTY,ROAD,RD,,,48127,,219,202,202,2013-12-23,-72.13031626581778,42.2892071469534,723100
M_149202_896334,149201.73440000,896333.55360000,BC,1076483,291,UTLEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,291,291,,,,,,,,,UTLEY,ROAD,RD,,,48146,,219,202,202,2013-12-23,-72.11621211745711,42.315836503750916,723100
M_149648_895596,149647.88200000,895596.11600000,BMP,1076550,290,CUSHMAN ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,290,290,,,,,,,,,CUSHMAN,ROAD,RD,,,48080,,219,202,202,2013-12-23,-72.11073622607812,42.30922650538854,723100
M_147696_893491,147695.83020000,893491.13340000,BC,1076376,50,PROUTY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,50,50,,,,,,,,,PROUTY,ROAD,RD,,,48127,,219,202,202,2013-12-23,-72.13422256149636,42.29014781188936,723100
M_148726_900254,148726.12340000,900253.50460000,BMP,1076357,250,RAVINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,250,250,,,,,,,,,RAVINE,ROAD,RD,,,48130,,219,202,202,2013-12-23,-72.12232828075405,42.351095157940165,723100
M_148724_896529,148724.56020000,896529.04480000,BC,4170744,15,MEMORIAL DRIVE,,,NEW BRAINTREE GRADE SCHOOL,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,15,15,,,,,,,,,MEMORIAL,DRIVE,DR,,,48109,,219,202,202,2015-10-15,-72.12201760330008,42.31756525721459,723100
M_150695_896058,150695.09120000,896057.87280000,BMP,1076602,115,CEMETERY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,115,115,,,,,,,,,CEMETERY,ROAD,RD,,,48074,,219,202,202,2013-12-23,-72.09807399706077,42.31345034602743,723100
M_148345_896438,148345.19420000,896438.24260000,BC,1076749,3,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,3,3,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2013-12-23,-72.12661140016601,42.316722800779594,723100
M_148888_897291,148888.41800000,897290.83500000,BMP,1076356,231,BARRE CUT OFF ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,231,231,,,,,,,,,BARRE CUT OFF,ROAD,RD,,,48065,,219,202,202,2013-12-23,-72.12009711152376,42.32443410614355,723100
M_151124_898591,151123.97000000,898590.75840000,BMP,1076394,77,SCOTT ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,77,77,,,,,,,,,SCOTT,ROAD,RD,,,48132,,219,202,202,2013-12-23,-72.09308544794997,42.33627994311309,723100
M_143796_895102,143795.99700000,895101.68560000,BMP,1076642,55,SIBLEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,55,55,,,,,,,,,SIBLEY,ROAD,RD,,,48133,,219,202,202,2013-12-23,-72.18166473613756,42.30437620462515,723100
M_150290_898825,150290.41700000,898824.59540000,BC,1076467,130,BERNARD WHITNEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,130,130,,,,,,,,,BERNARD WHITNEY,ROAD,RD,,,48069,,219,202,202,2013-12-23,-72.10321991645039,42.338332460546184,723100
M_141380_894426,141379.90200000,894426.42700000,BMP,1076660,11,WARE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,11,11,,,,,,,,,WARE,ROAD,RD,,,48150,,219,202,202,2013-12-23,-72.21089852187612,42.29811956313315,723100
M_149227_900454,149227.23910000,900454.43470000,BMP,1076807,51,RAVINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,51,51,,,,,,,,,RAVINE,ROAD,RD,,,48130,,219,202,202,2016-06-07,-72.11626390341875,42.3529367987443,723100
M_150964_898211,150964.43740000,898210.66080000,BMP,1076466,1229,OAKHAM ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1229,1229,,,,,,,,,OAKHAM,ROAD,RD,,,48120,,219,202,202,2013-12-23,-72.09498905831825,42.33284806842269,723100
M_148486_896459,148486.20900000,896459.49020000,BC,1076554,31,UTLEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,31,31,,,,,,,,,UTLEY,ROAD,RD,,,48146,,219,202,202,2013-12-23,-72.12490273485432,42.31692339856799,723100
M_151073_898508,151072.89740000,898508.34440000,BMP,1076566,55,SCOTT ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,55,55,,,,,,,,,SCOTT,ROAD,RD,,,48132,,219,202,202,2013-12-23,-72.09369820694674,42.33553480309891,723100
M_145958_894930,145958.17780000,894930.49380000,BMP,1076643,560,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,560,560,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.1554260372505,42.30298760165871,723100
M_150610_896664,150609.85220000,896664.01640000,BMP,1076494,560,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,560,560,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.09915956879227,42.318901856869104,723100
M_144509_896702,144508.88960000,896702.13160000,BC,1076648,720,UNITAS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,720,720,,,,,,,,,UNITAS,ROAD,RD,,,48145,,219,202,202,2013-12-23,-72.17317204031212,42.31883533985257,723100
M_152277_896256,152277.20640000,896255.89770000,ABC,4236831,356,IGOE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,356,356,,,,,,,,,IGOE,ROAD,RD,,,48096,,219,202,202,2016-06-07,-72.07889966620947,42.31533136694569,723100
M_146096_897026,146096.06860000,897025.52500000,PC,4269956,875,WEST ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,875,875,,,,,,,,,WEST,ROAD,RD,,,48154,,219,202,202,2017-06-08,-72.15394854653677,42.32185787863689,723100
M_149039_900266,149038.97000000,900265.84380000,BC,1076346,151,RAVINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,151,151,,,,,,,,,RAVINE,ROAD,RD,,,48130,,219,202,202,2013-12-23,-72.1185323759173,42.35122672893517,723100
M_151182_895411,151182.42740000,895410.90960000,BC,1076661,110,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,110,110,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.09210826935814,42.30765656645651,723100
M_150455_898873,150455.49080000,898873.05120000,BMP,1076673,156,BERNARD WHITNEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,156,156,,,,,,,,,BERNARD WHITNEY,ROAD,RD,,,48069,,219,202,202,2013-12-23,-72.10122097641961,42.338779181289695,723100
M_149394_899900,149393.52760000,899900.38140000,BMP,1076350,1809,BARRE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1809,1809,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11419719164329,42.34795969460355,723100
M_149394_899900,149393.52760000,899900.38140000,BMP,1076824,1809,BARRE ROAD,,,,,B,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1809,1809,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11419719164329,42.34795969460355,723100
M_149394_899900,149393.52760000,899900.38140000,BMP,1076823,1809,BARRE ROAD,,,,,A,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1809,1809,,,,,,,,,BARRE,ROAD,RD,,,48066,,219,202,202,2013-12-23,-72.11419719164329,42.34795969460355,723100
M_146385_893738,146384.69480000,893738.35020000,BC,1076723,0,PIERCE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,0,0,,,,,,,,,PIERCE,ROAD,RD,,,48125,,219,202,202,2013-12-23,-72.15014318326902,42.29228455023509,723100
M_151034_898162,151034.38380000,898161.63300000,BMP,1076730,1210,OAKHAM ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1210,1210,,,,,,,,,OAKHAM,ROAD,RD,,,48120,,219,202,202,2013-12-23,-72.09413622451737,42.3324110793255,723100
M_148744_897252,148743.92880000,897251.81020000,BMP,1076475,193,BARRE CUT OFF ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,193,193,,,,,,,,,BARRE CUT OFF,ROAD,RD,,,48065,,219,202,202,2013-12-23,-72.12184657303587,42.324073310822136,723100
M_147564_893880,147567.69110000,893883.81420000,DBMP,1076456,860,WEST BROOKFIELD ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,860,860,,,,,,,,,WEST BROOKFIELD,ROAD,RD,,,48153,,219,202,202,2016-06-07,-72.13581176764717,42.29367439655292,723100
M_148111_896996,148111.20240000,896995.73960000,BC,1076711,76,DAVIS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,76,76,,,,,,,,,DAVIS,ROAD,RD,,,48081,,219,202,202,2013-12-23,-72.12949970291673,42.32172622218575,723100
M_148371_897129,148370.77600000,897129.12920000,BC,1076429,236,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,236,236,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2013-12-23,-72.12636262867241,42.32294428068703,723100
M_152238_897273,152238.24080000,897273.25220000,BMP,1076799,500,WORCESTER ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,500,500,,,,,,,,,WORCESTER,ROAD,RD,,,47591,,219,202,202,2013-12-23,-72.07945615935428,42.32448787491301,723100
M_148163_900359,148162.58240000,900359.04720000,BMP,1076779,125,MCEVOY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,125,125,,,,,,,,,MCEVOY,ROAD,RD,,,48106,,219,202,202,2013-12-23,-72.12917736964037,42.35200809149505,723100
M_153968_896370,153968.07480000,896369.67960000,BMP,1076337,1170,WORCESTER ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1170,1170,,,,,,,,,WORCESTER,ROAD,RD,,,47591,,219,202,202,2013-12-23,-72.05839827910692,42.31645719295408,723100
M_148897_900308,148896.91780000,900308.40920000,BMP,1076421,176,RAVINE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,176,176,,,,,,,,,RAVINE,ROAD,RD,,,48130,,219,202,202,2013-12-23,-72.1202602107396,42.35160063989781,723100
M_147458_894591,147457.52520000,894591.10080000,BMP,1076452,75,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,75,75,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.13721169919992,42.30003445145868,723100
M_151255_898778,151255.07100000,898778.23940000,BMP,1076538,185,SCOTT ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,185,185,,,,,,,,,SCOTT,ROAD,RD,,,48132,,219,202,202,2013-12-23,-72.09151043222137,42.337975957411786,723100
M_152336_896139,152335.76880000,896138.80340000,BC,1076814,0,IGOE ROAD,,,,,A,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,0,0,,,,,,,,,IGOE,ROAD,RD,,,48096,,219,202,202,2013-12-23,-72.07817967075351,42.31428078238669,723100
M_152336_896139,152335.76880000,896138.80340000,BC,1076720,0,IGOE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,0,0,,,,,,,,,IGOE,ROAD,RD,,,48096,,219,202,202,2013-12-23,-72.07817967075351,42.31428078238669,723100
M_143694_894863,143693.55180000,894862.98880000,BC,1076669,1435,GILBERTVILLE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1435,1435,,,,,,,,,GILBERTVILLE,ROAD,RD,,,48087,,219,202,202,2013-12-23,-72.18288400254879,42.30221993448376,723100
M_150630_899087,150630.02180000,899087.49840000,BC,1076354,200,BERNARD WHITNEY ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,200,200,,,,,,,,,BERNARD WHITNEY,ROAD,RD,,,48069,,219,202,202,2013-12-23,-72.09912139669224,42.3407208195169,723100
M_150868_897703,150868.11320000,897703.35340000,BC,1076658,1042,OAKHAM ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1042,1042,,,,,,,,,OAKHAM,ROAD,RD,,,48120,,219,202,202,2013-12-23,-72.09611478224765,42.32827491727856,723100
M_148266_897585,148265.80000000,897585.33680000,BMP,1076555,311,HARDWICK ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,311,311,,,,,,,,,HARDWICK,ROAD,RD,,,48089,,219,202,202,2013-12-23,-72.12767687316622,42.32704439154244,723100
M_141319_894210,141318.88620000,894210.08100000,BMP,1076447,61,WARE ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,61,61,,,,,,,,,WARE,ROAD,RD,,,48150,,219,202,202,2013-12-23,-72.2116165507139,42.296167308121284,723100
M_153928_896508,153927.69600000,896508.35940000,BMP,1076464,1141,WORCESTER ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,1141,1141,,,,,,,,,WORCESTER,ROAD,RD,,,47591,,219,202,202,2013-12-23,-72.05889911007178,42.31770330098003,723100
M_148275_896907,148275.14350000,896906.57260000,BMP,1076432,25,DAVIS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,25,25,,,,,,,,,DAVIS,ROAD,RD,,,48081,,219,202,202,2016-06-07,-72.1275029313338,42.320934361428115,723100
M_145285_897111,145284.66300000,897110.56800000,BMP,1076561,420,UNITAS ROAD,,,,,,,,01531,,NEW BRAINTREE,NEW BRAINTREE,MA,,420,420,,,,,,,,,UNITAS,ROAD,RD,,,48145,,219,202,202,2013-12-23,-72.1637999438027,42.322567058619846,723100
