ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_68237_927406,68236.86880000,927405.60660000,BC,146604,534,SAVOY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,534,534,,,,,,,,,SAVOY,ROAD,RD,,,7757,,63,58,58,2013-12-06,-73.10529539219507,42.586054344920214,923100
M_68012_927241,68011.50500000,927240.67340000,BMP,145710,968,SANDMILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,968,968,,,,,,,,,SANDMILL,ROAD,RD,,,7756,,63,58,58,2015-06-10,-73.1080025154558,42.58453162462147,923100
M_68904_926750,68903.59760000,926749.86800000,BMP,146977,106,PLEASANT VIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,106,106,,,,,,,,,PLEASANT VIEW,DRIVE,DR,,,7743,,63,58,58,2013-12-06,-73.09702484821365,42.58026491528028,923100
M_64402_926287,64402.23860000,926287.38940000,BMP,146454,642,NORTH STATE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,642,642,,,,,,,NORTH,,STATE,ROAD,RD,,,7734,,63,58,58,2013-12-06,-73.1517381269137,42.57533064287332,923100
M_66162_923293,66162.05640000,923292.98800000,BMP,145726,867,NOTCH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,867,867,,,,,,,,,NOTCH,ROAD,RD,,,7736,,63,58,58,2013-12-06,-73.12960996787334,42.548683781334475,923100
M_68618_925787,68617.78340000,925786.73160000,BC,145620,440,SANDMILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,440,440,,,,,,,,,SANDMILL,ROAD,RD,,,7756,,63,58,58,2013-12-06,-73.10028573576913,42.571547789501295,923100
M_63841_924806,63841.29600000,924806.30120000,BMP,146125,204,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,204,204,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.1582186468961,42.56190197434521,923100
M_63569_924873,63569.39760000,924873.45180000,BMP,146004,115,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,115,115,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.16154507299025,42.562458740880594,923100
M_63671_924734,63670.75420000,924733.93020000,PC,146699,97,DEPOT STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,97,97,,,,,,,,,DEPOT,STREET,ST,,,7684,,63,58,58,2013-12-06,-73.16027792460446,42.56122072713128,923100
M_64347_925490,64346.64500000,925490.48160000,BMP,145904,68,MEADOWVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,68,68,,,,,,,,,MEADOWVIEW,DRIVE,DR,,,7726,,63,58,58,2013-12-06,-73.15222714104746,42.56814829696928,923100
M_68904_926750,68903.59760000,926749.86800000,BMP,146978,106-126,PLEASANT VIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,106,106,,,126,126,,,,,PLEASANT VIEW,DRIVE,DR,,,7743,,63,58,58,2014-11-20,-73.09702484821365,42.58026491528028,923100
M_68299_927455,68298.83080000,927455.01940000,BMP,146609,547,SAVOY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,547,547,,,,,,,,,SAVOY,ROAD,RD,,,7757,,63,58,58,2013-12-06,-73.1045519987702,42.58650958776525,923100
M_63841_924806,63841.29600000,924806.30120000,BMP,146126,204-208,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,204,204,,,208,208,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.1582186468961,42.56190197434521,923100
M_66639_926845,66638.94520000,926844.61580000,BC,147164,945,JENKS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,945,945,,,,,,,,,JENKS,ROAD,RD,,,7713,,63,58,58,2013-12-06,-73.12462835672237,42.580732720022255,923100
M_63569_924873,63569.39760000,924873.45180000,BMP,147219,113,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,113,113,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.16154507299025,42.562458740880594,923100
M_65376_925236,65376.05000000,925236.92600000,BC,147285,346,WELLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,346,346,,,,,,,,,WELLS,ROAD,RD,,,7775,,63,58,58,2013-12-06,-73.13963296396781,42.56604494821647,923100
M_67603_926841,67602.94600000,926841.34100000,BMP,146643,22,LEOS COURT,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,22,22,,,,,,,,,LEOS,COURT,CT,,,7721,,63,58,58,2013-12-06,-73.11288678066961,42.58086793062042,923100
M_62802_924157,62802.26000000,924156.65020000,BC,146315,61,WILLOW LANE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,61,61,,,,,,,,,WILLOW,LANE,LN,,,7779,,63,58,58,2013-12-06,-73.17071444677102,42.5558721990316,923100
M_63983_925635,63983.20120000,925634.66860000,BMP,146574,381,NORTH STATE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,381,381,,,,,,,NORTH,,STATE,ROAD,RD,,,7734,,63,58,58,2013-12-06,-73.15668679786067,42.569382609228576,923100
M_64348_925394,64347.71600000,925394.30040000,BMP,147147,80,MEADOWVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,80,80,,,,,,,,,MEADOWVIEW,DRIVE,DR,,,7726,,63,58,58,2013-12-06,-73.15219141122485,42.56728279361675,923100
M_62701_922692,62701.18620000,922691.70100000,BMP,146910,781,SOUTH STATE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,781,781,,,,,,,SOUTH,,STATE,ROAD,RD,,,7761,,63,58,58,2013-12-06,-73.17159538743047,42.542668915004406,923100
M_68904_926750,68903.59760000,926749.86800000,BMP,146267,126,PLEASANT VIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,126,126,,,,,,,,,PLEASANT VIEW,DRIVE,DR,,,7743,,63,58,58,2013-12-06,-73.09702484821365,42.58026491528028,923100
M_63841_924806,63841.29600000,924806.30120000,BMP,147350,208,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,208,208,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.1582186468961,42.56190197434521,923100
M_61614_921687,61614.27460000,921686.59480000,BC,146908,76,INGALLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,76,76,,,,,,,,,INGALLS,ROAD,RD,,,7712,,63,58,58,2013-12-06,-73.18458332025278,42.533429826540285,923100
M_62677_923629,62677.07660000,923628.70600000,BC,146890,222,LAKESHORE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,222,222,,,,,,,,,LAKESHORE,DRIVE,DR,,,7718,,63,58,58,2013-12-06,-73.17211245155715,42.55109829577836,923100
M_64320_926051,64320.12560000,926051.19440000,BC,146036,26,BRIGGS DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,26,26,,,,,,,,,BRIGGS,DRIVE,DR,,,7670,,63,58,58,2013-12-06,-73.15268236847685,42.573190428524896,923100
M_62752_924514,62752.18320000,924513.51380000,BC,146763,119,DANIELS TERRACE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,119,119,,,,,,,,,DANIELS,TERRACE,TER,,,7681,,63,58,58,2013-12-06,-73.17140924130355,42.559075355645,923100
M_66033_922963,66033.33500000,922962.53260000,BC,147048,611,NOTCH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,611,611,,,,,,,,,NOTCH,ROAD,RD,,,7736,,63,58,58,2013-12-06,-73.13109996332095,42.545687299030355,923100
M_64136_924539,64136.44100000,924539.07960000,BMP,145920,81,FURNACE HILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,81,81,,,,,,,,,FURNACE HILL,ROAD,RD,,,7702,,63,58,58,2013-12-06,-73.154561984624,42.559548406375306,923100
M_63303_924901,63302.62000000,924900.63560000,BC,146819,32,NORTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,32,32,,,,,,,,,NORTH,STREET,ST,,,7735,,63,58,58,2013-12-06,-73.16479970941145,42.56265658584006,923100
M_64099_925454,64099.11940000,925453.93300000,BC,146870,56,RICHARDSON STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,56,56,,,,,,,,,RICHARDSON,STREET,ST,,,7749,,63,58,58,2013-12-06,-73.1552325532016,42.56777613730251,923100
M_64096_925258,64096.33160000,925258.21120000,BC,145516,160,SCHOOL STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,160,160,,,,,,,,,SCHOOL,STREET,ST,,,7758,,63,58,58,2013-12-06,-73.15522024534495,42.566014034240744,923100
M_63462_924853,63462.11420000,924852.89940000,BMP,146413,77,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,77,77,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.16284643362495,42.562254937039086,923100
M_62847_924302,62846.70800000,924302.26380000,BC,146176,87,LANESBOROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,87,87,,,,,,,,,LANESBOROUGH,ROAD,RD,,,7720,,63,58,58,2013-12-06,-73.17020804029762,42.55719064579506,923100
M_64514_925057,64514.29840000,925057.29180000,BC,145584,61,WELLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,61,61,,,,,,,,,WELLS,ROAD,RD,,,7775,,63,58,58,2013-12-06,-73.15008361392907,42.56427853357526,923100
M_61007_920401,61006.95300000,920401.13480000,BMP,146528,25,INGALLS CROSSING,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,25,25,,,,,,,,,INGALLS,CROSSING,XING,,,7711,,63,58,58,2013-12-06,-73.19166406781959,42.5217516597579,923100
M_64937_927911,64937.15260000,927910.90460000,BC,145518,165,EASTVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,165,165,,,,,,,,,EASTVIEW,DRIVE,DR,,,7689,,63,58,58,2013-12-06,-73.14560536742621,42.5900363000383,923100
M_62648_923873,62648.38040000,923872.89440000,BC,146739,108,LAKESHORE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,108,108,,,,,,,,,LAKESHORE,DRIVE,DR,,,7718,,63,58,58,2013-12-06,-73.17252007668002,42.55329107697466,923100
M_62741_923806,62740.56220000,923805.58180000,BMP,145511,151,LAKESHORE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,151,151,,,,,,,,,LAKESHORE,DRIVE,DR,,,7718,,63,58,58,2013-12-06,-73.17138181417215,42.55270148777963,923100
M_64354_926276,64354.30340000,926275.88380000,BC,146564,632,NORTH STATE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,632,632,,,,,,,NORTH,,STATE,ROAD,RD,,,7734,,63,58,58,2013-12-06,-73.15231917263051,42.575218728242774,923100
M_62752_924206,62752.15540000,924205.74120000,BMP,146636,21,WILLOW LANE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,21,21,,,,,,,,,WILLOW,LANE,LN,,,7779,,63,58,58,2013-12-06,-73.17133614752514,42.55630521179101,923100
M_63630_927458,63629.68160000,927457.94900000,BMP,146677,861,OUTLOOK AVENUE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,861,861,,,,,,,,,OUTLOOK,AVENUE,AVE,,,7740,,63,58,58,2013-12-06,-73.16142409695176,42.58573128757677,923100
M_61299_922686,61299.45740000,922686.26740000,BC,145925,84,QUARRY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,84,84,,,,,,,,,QUARRY,ROAD,RD,,,7746,,63,58,58,2013-12-06,-73.18865550927795,42.54237146382582,923100
M_62930_925183,62929.88660000,925183.40500000,BC,146548,30,BERTI LANE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,30,30,,,,,,,,,BERTI,LANE,LN,,,7668,,63,58,58,2013-12-06,-73.16940536174887,42.56513610087157,923100
M_63305_926125,63304.86660000,926124.85660000,BMP,147073,408,OUTLOOK AVENUE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,408,408,,,,,,,,,OUTLOOK,AVENUE,AVE,,,7740,,63,58,58,2013-12-06,-73.16506336602507,42.573675690958396,923100
M_61721_921623,61720.56300000,921622.60600000,BMP,146322,64,DEVONSHIRE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,64,64,,,,,,,,,DEVONSHIRE,DRIVE,DR,,,7685,,63,58,58,2013-12-06,-73.18327442689161,42.532872775543915,923100
M_64539_926438,64538.98660000,926437.96880000,BC,146084,44,ARNOLD COURT,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,44,44,,,,,,,,,ARNOLD,COURT,CT,,,7665,,63,58,58,2013-12-06,-73.15010827333673,42.57670977310931,923100
M_64781_925110,64781.07240000,925110.14140000,BMP,146812,30,DUBLIN ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,30,30,,,,,,,,,DUBLIN,ROAD,RD,,,7686,,63,58,58,2013-12-06,-73.14684780096943,42.56480062448597,923100
M_63513_924874,63512.72140000,924873.82360000,BMP,147162,93,CHURCH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,93,93,,,,,,,,,CHURCH,STREET,ST,,,7676,,63,58,58,2013-12-06,-73.16223522799181,42.56245214696822,923100
M_64549_924459,64548.63840000,924459.02960000,BMP,147386,86,WINDSOR ROAD,,,,,,,,01225,CHESHIRE,CHESHIRE,CHESHIRE,MA,,86,86,,,,,,,,,WINDSOR,ROAD,RD,,,7781,,63,58,58,2013-12-06,-73.14952460060286,42.558899771593374,923100
M_63968_925187,63968.27120000,925186.71220000,BC,146505,119,SCHOOL STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,119,119,,,,,,,,,SCHOOL,STREET,ST,,,7758,,63,58,58,2013-12-06,-73.15676263523154,42.5653481187796,923100
M_63145_924558,63145.31620000,924558.33920000,BMP,145688,81-101,SOUTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,81,81,,,101,101,,,,,SOUTH,STREET,ST,,,7762,,63,58,58,2014-11-20,-73.1666335375003,42.5595480581043,923100
M_61201_920888,61201.36240000,920888.37460000,BC,146571,370,INGALLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,370,370,,,,,,,,,INGALLS,ROAD,RD,,,7712,,63,58,58,2013-12-06,-73.18941599825946,42.52617181873536,923100
M_64326_925543,64326.21860000,925543.39560000,BC,146867,53,MEADOWVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,53,53,,,,,,,,,MEADOWVIEW,DRIVE,DR,,,7726,,63,58,58,2013-12-06,-73.15248835205725,42.56862099348711,923100
M_63732_924585,63732.13380000,924584.70660000,BC,146877,19,MILL HILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,19,19,,,,,,,,,MILL HILL,ROAD,RD,,,7728,,63,58,58,2013-12-06,-73.15949525268998,42.55988837461769,923100
M_68252_927489,68252.04340000,927488.68280000,BC,147327,525,SAVOY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,525,525,,,,,,,,,SAVOY,ROAD,RD,,,7757,,63,58,58,2013-12-06,-73.10512960521146,42.586804656425336,923100
M_60967_924521,60966.74220000,924520.85960000,BC,147391,880,WEST MOUNTAIN ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,880,880,,,,,,,WEST,,MOUNTAIN,ROAD,RD,,,7776,,63,58,58,2013-12-06,-73.19314851206518,42.558824485104346,923100
M_63285_924538,63284.60780000,924538.30120000,BMP,145738,100,DEAN STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,100,100,,,,,,,,,DEAN,STREET,ST,,,7683,,63,58,58,2013-12-06,-73.16493289531383,42.55939219123542,923100
M_63501_925349,63500.58200000,925349.43760000,BC,146388,191,NORTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,191,191,,,,,,,,,NORTH,STREET,ST,,,7735,,63,58,58,2013-12-06,-73.16249591629723,42.566730830409185,923100
M_61190_920536,61190.00260000,920535.62480000,BC,146822,33,BROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,33,33,,,,,,,,,BROUGH,ROAD,RD,,,7673,,63,58,58,2013-12-06,-73.18946919812556,42.52299481639451,923100
M_63404_925062,63404.47520000,925061.76120000,BC,146115,18,WELLS PARK,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,18,18,,,,,,,,,WELLS,PARK,PARK,,,7774,,63,58,58,2013-12-06,-73.16359782524462,42.5641247024244,923100
M_62825_924347,62824.67780000,924346.96140000,BMP,147390,88,LANESBOROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,88,88,,,,,,,,,LANESBOROUGH,ROAD,RD,,,7720,,63,58,58,2013-12-06,-73.17048690707333,42.55758906776729,923100
M_63145_924558,63145.31620000,924558.33920000,BMP,146230,101,SOUTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,101,101,,,,,,,,,SOUTH,STREET,ST,,,7762,,63,58,58,2013-12-06,-73.1666335375003,42.5595480581043,923100
M_68247_926796,68247.26120000,926795.74160000,BMP,146422,797,SANDMILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,797,797,,,,,,,,,SANDMILL,ROAD,RD,,,7756,,63,58,58,2013-12-06,-73.10502901255857,42.58056691134935,923100
M_63145_924558,63145.31620000,924558.33920000,BMP,147382,83,SOUTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,83,83,,,,,,,,,SOUTH,STREET,ST,,,7762,,63,58,58,2013-12-06,-73.1666335375003,42.5595480581043,923100
M_63145_924558,63145.31620000,924558.33920000,BMP,146671,81,SOUTH STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,81,81,,,,,,,,,SOUTH,STREET,ST,,,7762,,63,58,58,2013-12-06,-73.1666335375003,42.5595480581043,923100
M_62392_923425,62392.47260000,923424.97640000,BC,146199,251,SHADOWLAND COVE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,251,251,,,,,,,,,SHADOWLAND COVE,ROAD,RD,,,7760,,63,58,58,2013-12-06,-73.17552831728442,42.54921432901997,923100
M_61645_922809,61644.93700000,922808.76300000,BMP,147489,708,LANESBOROUGH ROAD,,,,,LEFT,,,01225,,CHESHIRE,CHESHIRE,MA,,708,708,,,,,,,,,LANESBOROUGH,ROAD,RD,,,7720,,63,58,58,2013-12-06,-73.18447989736556,42.543535491819924,923100
M_62296_923290,62296.20820000,923290.21060000,ABC,145888,200,WILLOW COVE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,200,200,,,,,,,,,WILLOW COVE,ROAD,RD,,,7778,,63,58,58,2013-12-06,-73.17666789251021,42.54798432574079,923100
M_61645_922809,61644.93700000,922808.76300000,BMP,145674,708,LANESBOROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,708,708,,,,,,,,,LANESBOROUGH,ROAD,RD,,,7720,,63,58,58,2013-12-06,-73.18447989736556,42.543535491819924,923100
M_64159_924784,64158.69160000,924783.97020000,BC,145566,29,EAST MAIN STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,29,29,,,,,,,EAST,,MAIN,STREET,ST,,,7688,,63,58,58,2013-12-06,-73.1543489179335,42.56175646112269,923100
M_61944_921960,61943.82400000,921960.32260000,BC,146708,42,FISHER HILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,42,42,,,,,,,,,FISHER HILL,ROAD,RD,,,7696,,63,58,58,2013-12-06,-73.18063836793199,42.5359520713703,923100
M_64248_925378,64247.93100000,925378.36120000,BC,146998,110,RICHARDSON STREET,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,110,110,,,,,,,,,RICHARDSON,STREET,ST,,,7749,,63,58,58,2013-12-06,-73.15340268626605,42.56712192564133,923100
M_61857_921629,61857.23240000,921629.13180000,BC,146235,105,DEVONSHIRE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,105,105,,,,,,,,,DEVONSHIRE,DRIVE,DR,,,7685,,63,58,58,2013-12-06,-73.18161274863371,42.53295577875692,923100
M_67760_926823,67759.83180000,926823.24360000,BMP,147020,24,LEOS COURT,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,24,24,,,,,,,,,LEOS,COURT,CT,,,7721,,63,58,58,2013-12-06,-73.11097185852992,42.58073173068889,923100
M_61574_920317,61573.73040000,920317.22560000,BMP,145895,222,BROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,222,222,,,,,,,,,BROUGH,ROAD,RD,,,7673,,63,58,58,2013-12-06,-73.18474753176864,42.52109740280209,923100
M_64389_924811,64388.73500000,924811.13780000,BC,145830,37,FLAHERTY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,37,37,,,,,,,,,FLAHERTY,ROAD,RD,,,7698,,63,58,58,2013-12-06,-73.151554431319,42.562041116574214,923100
M_61701_921827,61700.91460000,921827.08820000,BC,145635,52,INGALLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,52,52,,,,,,,,,INGALLS,ROAD,RD,,,7712,,63,58,58,2013-12-06,-73.18356266895879,42.53470975507241,923100
M_64443_928091,64442.60600000,928090.94840000,BC,147408,1224,OUTLOOK AVENUE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,1224,1224,,,,,,,,,OUTLOOK,AVENUE,AVE,,,7740,,63,58,58,2013-12-06,-73.15167189110238,42.59157075027383,923100
M_69264_928342,69263.50120000,928341.83520000,BMP,147076,420,STEWART WHITE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,420,420,,,,,,,,,STEWART WHITE,ROAD,RD,,,7767,,63,58,58,2013-12-06,-73.09300365329776,42.594654285045635,923100
M_66432_924895,66431.61720000,924895.12920000,BMP,145653,215,JENKS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,215,215,,,,,,,,,JENKS,ROAD,RD,,,7713,,63,58,58,2013-12-06,-73.1267005838088,42.56315048488987,923100
M_65415_927910,65414.51160000,927910.12660000,ABC,146537,264,EASTVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,264,264,,,,,,,,,EASTVIEW,DRIVE,DR,,,7689,,63,58,58,2013-12-06,-73.13979047993942,42.590112053333876,923100
M_61501_920509,61501.14820000,920508.81160000,BC,145503,147,BROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,147,147,,,,,,,,,BROUGH,ROAD,RD,,,7673,,63,58,58,2013-12-06,-73.18567675496074,42.5228088951211,923100
M_62645_923926,62645.23420000,923926.47440000,BC,145704,93,LAKESHORE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,93,93,,,,,,,,,LAKESHORE,DRIVE,DR,,,7718,,63,58,58,2013-12-06,-73.17257116995415,42.55377277436954,923100
M_62077_921577,62077.00160000,921576.59540000,BMP,146559,34,BERKSHIRE DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,34,34,,,,,,,,,BERKSHIRE,DRIVE,DR,,,7667,,63,58,58,2013-12-06,-73.17892560183729,42.532521888626235,923100
M_62325_923563,62325.36100000,923562.77060000,BC,146987,150,SHADOWLAND COVE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,150,150,,,,,,,,,SHADOWLAND COVE,ROAD,RD,,,7760,,63,58,58,2013-12-06,-73.17637823774498,42.55044269112272,923100
M_61213_922809,61213.06200000,922808.59240000,BMP,146742,109,QUARRY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,109,109,,,,,,,,,QUARRY,ROAD,RD,,,7746,,63,58,58,2013-12-06,-73.18973658278107,42.54345706086225,923100
M_61213_922809,61213.06200000,922808.59240000,BMP,145743,103-109,QUARRY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,103,103,,,109,109,,,,,QUARRY,ROAD,RD,,,7746,,63,58,58,2013-12-06,-73.18973658278107,42.54345706086225,923100
M_61904_922059,61904.19120000,922059.10140000,BMP,145747,15,FISHER HILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,15,15,,,,,,,,,FISHER HILL,ROAD,RD,,,7696,,63,58,58,2013-12-06,-73.18114441368976,42.53683411284073,923100
M_64348_926159,64348.44100000,926158.78880000,BC,145575,31,BRIGGS DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,31,31,,,,,,,,,BRIGGS,DRIVE,DR,,,7670,,63,58,58,2013-12-06,-73.15236293753019,42.57416378091316,923100
M_61989_923502,61988.71260000,923501.65520000,BMP,145626,484,LANESBOROUGH ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,484,484,,,,,,,,,LANESBOROUGH,ROAD,RD,,,7720,,63,58,58,2013-12-06,-73.180461676777,42.54983298381394,923100
M_64347_926432,64347.08800000,926431.99460000,BC,145902,679,NORTH STATE ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,679,679,,,,,,,NORTH,,STATE,ROAD,RD,,,7734,,63,58,58,2013-12-06,-73.15244387776244,42.576622560061494,923100
M_60870_924980,60870.38260000,924979.57640000,BMP,145879,192,CURRAN ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,192,192,,,,,,,,,CURRAN,ROAD,RD,,,7680,,63,58,58,2013-12-06,-73.19443262994777,42.56293596298949,923100
M_64265_925521,64264.69060000,925520.80460000,BC,145591,35,MEADOWVIEW DRIVE,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,35,35,,,,,,,,,MEADOWVIEW,DRIVE,DR,,,7726,,63,58,58,2013-12-06,-73.15323223469167,42.56840692799327,923100
M_61213_922809,61213.06200000,922808.59240000,BMP,145489,103,QUARRY ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,103,103,,,,,,,,,QUARRY,ROAD,RD,,,7746,,63,58,58,2013-12-06,-73.18973658278107,42.54345706086225,923100
M_62528_921962,62528.21540000,921961.54440000,BMP,145897,225,FISHER HILL ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,225,225,,,,,,,,,FISHER HILL,ROAD,RD,,,7696,,63,58,58,2016-10-31,-73.17352635176877,42.53606650135506,923100
M_64497_926427,64497.21080000,926426.60720000,BMP,147034,31,CREST ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,31,31,,,,,,,,,CREST,ROAD,RD,,,7678,,63,58,58,2013-12-06,-73.15061435718657,42.576600235792824,923100
M_64548_925072,64547.63720000,925071.97800000,BMP,147051,63,WELLS ROAD,,,,,,,,01225,,CHESHIRE,CHESHIRE,MA,,63,63,,,,,,,,,WELLS,ROAD,RD,,,7775,,63,58,58,2013-12-06,-73.14968114005039,42.56441652361448,923100
