ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_54107_905958,54107.44240000,905957.91940000,BMP,655062,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,8E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654625,140,HOUSATONIC STREET,,,,,43,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654622,140,HOUSATONIC STREET,,,,,4,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654996,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,15F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654975,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,12D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655017,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,1B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654627,140,HOUSATONIC STREET,,,,,45,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654995,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,15E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655038,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,4E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654610,140,HOUSATONIC STREET,,,,,22,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654644,140,HOUSATONIC STREET,,,,,66,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654984,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,13F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655015,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,18F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655080,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,B5,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655068,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,9E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654617,140,HOUSATONIC STREET,,,,,34,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53401_902143,53401.24020000,902142.88960000,BC,654480,100,HOUSATONIC STREET,,,,,A,,,01240,,LENOX,LENOX,MA,,100,100,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.2795702837636,42.35602059732742,913100
M_56030_899933,56029.99480000,899932.72460000,BC,654553,11,SCHOOL STREET,,,,,A,,,01240,,LENOX,LENOX,MA,,11,11,,,,,,,,,SCHOOL,STREET,ST,,,25037,,167,152,152,2013-12-09,-73.24711923008843,42.33661637543614,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654614,140,HOUSATONIC STREET,,,,,31,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654624,140,HOUSATONIC STREET,,,,,42,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654626,140,HOUSATONIC STREET,,,,,44,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654630,140,HOUSATONIC STREET,,,,,48,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654636,140,HOUSATONIC STREET,,,,,55,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654638,140,HOUSATONIC STREET,,,,,6,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654640,140,HOUSATONIC STREET,,,,,62,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654646,140,HOUSATONIC STREET,,,,,8,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654969,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,11C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654971,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,11E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654973,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,12B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654982,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,13D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654986,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,14B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_55557_906722,55556.98520000,906721.77660000,BC,653330,864,EAST STREET,,,,,,,,01240,,LENOX,LENOX,MA,,864,864,,,,,,,,,EAST,STREET,ST,,,24949,,167,152,152,2013-12-09,-73.25455220701043,42.39763635352733,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654990,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,14F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655005,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,17B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655007,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,17D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655011,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,18B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655013,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,18D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655026,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,2E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655028,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,3A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655030,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,3C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54878_902666,54878.06840000,902666.31440000,BC,653613,224,HUBBARD STREET,,,,,,,,01240,,LENOX,LENOX,MA,,224,224,,,,,,,,,HUBBARD,STREET,ST,,,24972,,167,152,152,2013-12-09,-73.26177933023376,42.361007848402274,913100
M_54375_902021,54375.05000000,902021.27260000,BC,652786,224,HOUSATONIC STREET,,,,,,,,01240,,LENOX,LENOX,MA,,224,224,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.26772195818916,42.355108229618835,913100
M_52483_902451,52483.47260000,902450.76500000,BC,653562,8,BRUNELL AVENUE,,,,,,,,01240,,LENOX,LENOX,MA,,8,8,,,,,,,,,BRUNELL,AVENUE,AVE,,,24927,,167,152,152,2013-12-09,-73.29078630440642,42.35861881293696,913100
M_54556_901924,54555.92300000,901923.85860000,BC,653133,26,BRACELAN COURT,,,,,,,,01240,,LENOX,LENOX,MA,,26,26,,,,,,,,,BRACELAN,COURT,CT,,,24924,,167,152,152,2013-12-09,-73.26550251984366,42.35426514310558,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654609,140,HOUSATONIC STREET,,,,,21,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654613,140,HOUSATONIC STREET,,,,,3,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654615,140,HOUSATONIC STREET,,,,,32,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654623,140,HOUSATONIC STREET,,,,,41,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654629,140,HOUSATONIC STREET,,,,,47,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654631,140,HOUSATONIC STREET,,,,,5,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654635,140,HOUSATONIC STREET,,,,,54,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654637,140,HOUSATONIC STREET,,,,,56,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654643,140,HOUSATONIC STREET,,,,,65,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654970,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,11D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654974,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,12C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654983,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,13E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654985,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,14A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654987,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,14C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_55037_902830,55037.47620000,902829.77180000,BC,654132,339,EAST STREET,,,,,,,,01240,,LENOX,LENOX,MA,,339,339,,,,,,,,,EAST,STREET,ST,,,24949,,167,152,152,2013-12-09,-73.25988560712008,42.36250872975315,913100
M_53376_901594,53376.02460000,901593.83780000,BC,654007,12,BEECHER LANE,,,,,,,,01240,,LENOX,LENOX,MA,,12,12,,,,,,,,,BEECHER,LANE,LN,,,24915,,167,152,152,2013-12-09,-73.27973724125381,42.35107393603915,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654999,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,16C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655002,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,16F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655004,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,17A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655012,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,18C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655014,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,18E,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654411,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,11A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_56049_901427,56048.53400000,901426.86280000,BC,651919,480,HOUSATONIC STREET,,,,,,,,01240,,LENOX,LENOX,MA,,480,480,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.2472656876268,42.35006842286148,913100
M_56030_899933,56029.99480000,899932.72460000,BC,653677,11,SCHOOL STREET,,,,,,,,01240,,LENOX,LENOX,MA,,11,11,,,,,,,,,SCHOOL,STREET,ST,,,25037,,167,152,152,2013-12-09,-73.24711923008843,42.33661637543614,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655045,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,5F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655065,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,9B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_55024_902173,55024.21840000,902173.28100000,BC,652467,249,EAST STREET,,,,,,,,01240,,LENOX,LENOX,MA,,249,249,,,,,,,,,EAST,STREET,ST,,,24949,,167,152,152,2013-12-09,-73.25988209639979,42.35659728075703,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654972,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,12A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654981,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,13C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54366_906867,54366.44340000,906866.75000000,BC,652099,12,WEST MOUNTAIN ROAD,,,,,,,,01240,,LENOX,LENOX,MA,,12,12,,,,,,,WEST,,MOUNTAIN,ROAD,RD,,,25062,,167,152,152,2013-12-09,-73.26904613043368,42.39871985993119,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654979,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,13A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655003,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,17,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54907_903693,54907.02060000,903692.54160000,BC,653310,4,BIRCHWOOD LANE,,,,,,,,01240,,LENOX,LENOX,MA,,4,4,,,,,,,,,BIRCHWOOD,LANE,LN,,,24918,,167,152,152,2013-12-09,-73.26168522696494,42.37025014960208,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655064,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,9A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_53792_900793,53791.90300000,900793.25200000,BC,653318,30,LEE ROAD,,,,,,,,01240,,LENOX,LENOX,MA,,30,30,,,,,,,,,LEE,ROAD,RD,,,24988,,167,152,152,2013-12-09,-73.27448858953603,42.343945981343275,913100
M_53633_901960,53632.96680000,901960.09260000,BMP,654639,140,HOUSATONIC STREET,,,,,61,,,01240,,LENOX,LENOX,MA,,140,140,,,,,,,,,HOUSATONIC,STREET,ST,,,25082,,167,152,152,2013-12-09,-73.27671194165914,42.35441875848871,913100
M_53370_902931,53370.00740000,902930.50500000,BMP,653674,11,MAPLE STREET,,,,,,,,01240,,LENOX,LENOX,MA,,11,11,,,,,,,,,MAPLE,STREET,ST,,,24994,,167,152,152,2013-12-09,-73.28014881984774,42.36310391752484,913100
M_55287_900432,55287.32440000,900431.55340000,BMP,653706,383,WALKER STREET,,,,,,,,01240,,LENOX,LENOX,MA,,383,383,,,,,,,,,WALKER,STREET,ST,,,25060,,167,152,152,2013-12-09,-73.25625384129228,42.34096899617065,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655018,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,1C,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655022,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,2A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655031,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,3D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655033,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,3F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655035,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,4B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,654404,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,10A,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655043,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,5D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655047,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,6B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655049,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,6D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655051,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,6F,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655059,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,8B,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
M_54107_905958,54107.44240000,905957.91940000,BMP,655061,260,PITTSFIELD ROAD,,LENOX HEIGHTS,,,8D,,,01240,,LENOX,LENOX,MA,,260,260,,,,,,,,,PITTSFIELD,ROAD,RD,,,25020,15967,167,152,152,2013-12-09,-73.27196206352507,42.39049128678364,913100
