ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_131693_935014,131692.95180000,935014.43080000,BMP,991743,313,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,313,313,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33317521443072,42.66270907999294,040400
M_130418_934129,130417.58140000,934128.96860000,BC,991843,12,SOUTH HOLDEN ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,12,12,,,,,,,SOUTH,,HOLDEN,ROAD,RD,,,42624,,337,312,312,2013-12-18,-72.34862307597083,42.65462529997525,040400
M_129539_941297,129538.62100000,941296.93620000,BC,992013,634,WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,634,634,,,,,,,,,WINCHESTER,ROAD,RD,,,42644,,337,312,312,2013-12-18,-72.36022371930498,42.719068688576975,040400
M_131844_933426,131843.66700000,933426.15940000,BMP,992128,515,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,515,515,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33114821294589,42.64842527005852,040400
M_130728_933375,130727.83960000,933374.80520000,BC,991950,500,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,500,500,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.34474834441194,42.647864318970406,040400
M_130157_930972,130157.22980000,930971.96200000,BMP,992082,835,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,835,835,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.3514137822662,42.626183633791406,040400
M_132248_930813,132248.40600000,930813.24220000,BMP,992085,877,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,877,877,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.32590431743729,42.624939974749324,040400
M_132058_934551,132057.75300000,934550.68440000,BMP,991850,20,KIRK ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,20,20,,,,,,,,,KIRK,ROAD,RD,,,42581,,337,312,312,2013-12-18,-72.32867087962669,42.65856659884052,040400
M_131181_936626,131181.03340000,936625.78560000,BMP,991820,65,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,65,65,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33961240039214,42.67716865463932,040400
M_133811_937203,133810.54560000,937203.36800000,BMP,991813,470,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,470,470,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.30760022148071,42.68259636712501,040400
M_130157_930972,130157.22980000,930971.96200000,BMP,992255,835,WENDELL ROAD,,,,,2,,,01378,,WARWICK,WARWICK,MA,,835,835,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.3514137822662,42.626183633791406,040400
M_128766_931524,128766.44840000,931524.25780000,BC,991921,175,QUARRY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,175,175,,,,,,,,,QUARRY,ROAD,RD,,,42608,,337,312,312,2013-12-18,-72.36843539945478,42.631029006652454,040400
M_132169_930067,132169.00060000,930067.33860000,BMP,992127,51,WHEELER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,51,51,,,,,,,,,WHEELER,ROAD,RD,,,42640,,337,312,312,2013-12-18,-72.32678408934117,42.61821861960051,040400
M_131855_932071,131854.75560000,932071.11220000,PC,991823,695,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,695,695,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33085204272989,42.63622854433497,040400
M_130260_934261,130260.15440000,934261.13500000,BMP,992063,45,PINE STREET,,,,,,,,01378,,WARWICK,WARWICK,MA,,45,45,,,,,,,,,PINE,STREET,ST,,,42607,,337,312,312,2013-12-18,-72.35055899228122,42.65580089650837,040400
M_131360_936869,131359.97240000,936868.60060000,BC,991727,12,HASTINGS POND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,12,12,,,,,,,,,HASTINGS POND,ROAD,RD,,,42574,,337,312,312,2013-12-18,-72.33745851529154,42.67937020579788,040400
M_132413_930365,132413.06120000,930364.97980000,BMP,991966,922,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,922,922,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.32384448833693,42.620919168482374,040400
M_130597_934134,130597.24980000,934134.22920000,BC,992188,35,SOUTH HOLDEN ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,35,35,,,,,,,SOUTH,,HOLDEN,ROAD,RD,,,42624,,337,312,312,2013-12-18,-72.34643263144086,42.6546887245328,040400
M_130262_934296,130261.92380000,934296.47640000,BC,991996,39,PINE STREET,,,,,,,,01378,,WARWICK,WARWICK,MA,,39,39,,,,,,,,,PINE,STREET,ST,,,42607,,337,312,312,2013-12-18,-72.35054171174248,42.65611918516134,040400
M_129664_940935,129664.21180000,940934.84140000,BMP,991818,590,WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,590,590,,,,,,,,,WINCHESTER,ROAD,RD,,,42644,,337,312,312,2013-12-18,-72.35864605556542,42.715820708460775,040400
M_129029_936009,129029.04120000,936009.47940000,BMP,992016,75,SHEPARDSON PLACE,,,,,,,,01378,,WARWICK,WARWICK,MA,,75,75,,,,,,,,,SHEPARDSON,PLACE,PL,,,42620,,337,312,312,2013-12-18,-72.36578926645007,42.67142727397401,040400
M_128014_936731,128013.57940000,936730.71200000,BMP,991846,139,BASS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,139,139,,,,,,,,,BASS,ROAD,RD,,,42552,,337,312,312,2013-12-18,-72.37826681556164,42.677826026384004,040400
M_132656_937364,132655.78480000,937364.11420000,BC,991956,8,GALE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,8,8,,,,,,,,,GALE,ROAD,RD,,,42570,,337,312,312,2013-12-18,-72.3217078835877,42.683944055068864,040400
M_128665_930572,128664.71320000,930572.30540000,BC,991808,44,DUSTY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,44,44,,,,,,,,,DUSTY,ROAD,RD,,,42563,,337,312,312,2013-12-18,-72.36955729589842,42.62245050452958,040400
M_129879_935388,129879.47700000,935387.86280000,BMP,991889,66,CHESTNUT HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,66,66,,,,,,,,,CHESTNUT HILL,ROAD,RD,,,42560,,337,312,312,2013-12-18,-72.35533928441671,42.665908984804275,040400
M_131236_936750,131236.43620000,936750.23680000,BMP,992202,50,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,50,50,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33895144650731,42.678293817978215,040400
M_131291_936910,131290.55200000,936910.33600000,BC,991807,4,ROCKWOOD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,4,4,,,,,,,,,ROCKWOOD,ROAD,RD,,,42614,,337,312,312,2013-12-18,-72.3383104448137,42.679739751038255,040400
M_128730_930532,128730.47720000,930531.85860000,BC,991995,36,DUSTY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,36,36,,,,,,,,,DUSTY,ROAD,RD,,,42563,,337,312,312,2013-12-18,-72.36875068505064,42.62209244732724,040400
M_131085_939876,131085.11340000,939876.43500000,BMP,992067,496,OLD WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,496,496,,,,,,,,,OLD WINCHESTER,ROAD,RD,,,42603,,337,312,312,2013-12-18,-72.3411736741648,42.706420954512815,040400
M_128908_930508,128908.06900000,930507.99940000,BC,991733,16,DUSTY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,16,16,,,,,,,,,DUSTY,ROAD,RD,,,42563,,337,312,312,2013-12-18,-72.36658309724774,42.62189393654653,040400
M_130889_940733,130888.91780000,940733.06740000,BC,992135,620,OLD WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,620,620,,,,,,,,,OLD WINCHESTER,ROAD,RD,,,42603,,337,312,312,2013-12-18,-72.34367169600566,42.71411446259847,040400
M_133258_941293,133258.06480000,941292.91080000,BMP,992191,36,SMITH ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,36,36,,,,,,,,,SMITH,ROAD,RD,,,42622,,337,312,312,2013-12-18,-72.31481747222517,42.71936120820539,040400
M_131230_937149,131229.98920000,937149.49220000,BC,991780,11,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,11,11,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33907801511938,42.681887169441154,040400
M_131176_937489,131175.86200000,937488.77860000,BC,991929,28,WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,28,28,,,,,,,,,WINCHESTER,ROAD,RD,,,42644,,337,312,312,2013-12-18,-72.33977914636685,42.68493647852276,040400
M_130485_934032,130485.35060000,934031.69200000,BC,991749,364,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,364,364,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.34778482983725,42.65375571885807,040400
M_130030_936964,130030.15480000,936964.35440000,BMP,992068,50,WHITE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,50,50,,,,,,,,,WHITE,ROAD,RD,,,42642,,337,312,312,2013-12-18,-72.35369388130353,42.68011346712622,040400
M_131991_931555,131990.60860000,931555.16840000,BMP,992055,33,HOCKANUM ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,33,33,,,,,,,,,HOCKANUM,ROAD,RD,,,42577,,337,312,312,2013-12-18,-72.32913463040161,42.631596072097324,040400
M_130046_935657,130046.01660000,935656.80540000,BC,991747,35,CHESTNUT HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,35,35,,,,,,,,,CHESTNUT HILL,ROAD,RD,,,42560,,337,312,312,2013-12-18,-72.35334076787511,42.66834491001035,040400
M_130516_940314,130515.83080000,940314.34280000,BMP,991863,30,ROBBINS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,30,30,,,,,,,,,ROBBINS,ROAD,RD,,,42613,,337,312,312,2013-12-18,-72.34817501892891,42.71031202225738,040400
M_131926_933402,131925.70280000,933401.67320000,BMP,991877,520,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,520,520,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33014496549991,42.64821204520841,040400
M_133743_937336,133743.22260000,937335.79660000,BMP,992159,10,ROYALSTON ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,10,10,,,,,,,,,ROYALSTON,ROAD,RD,,,42615,,337,312,312,2013-12-18,-72.30843691749513,42.68378269339495,040400
M_131864_933083,131863.98780000,933083.21940000,BC,992010,569,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,569,569,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33085968617492,42.645340021237025,040400
M_131983_932934,131982.68480000,932934.17140000,BMP,992071,590,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,590,590,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.32939469790966,42.64400873903671,040400
M_130338_935307,130337.71980000,935307.15480000,BMP,991791,200,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,200,200,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.34974014265464,42.66522371467319,040400
M_130811_936521,130810.54460000,936520.77300000,BMP,992219,99,NORTHFIELD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,99,99,,,,,,,,,NORTHFIELD,ROAD,RD,,,42594,,337,312,312,2013-12-18,-72.34411950386259,42.676190459360285,040400
M_131079_937145,131078.76860000,937145.16440000,BMP,991739,25,NORTHFIELD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,25,25,,,,,,,,,NORTHFIELD,ROAD,RD,,,42594,,337,312,312,2013-12-18,-72.34092245089367,42.68183480669095,040400
M_130712_934257,130711.71240000,934256.84800000,BC,992034,12,SAMMY LANE,,,,,,,,01378,,WARWICK,WARWICK,MA,,12,12,,,,,,,,,SAMMY,LANE,LN,,,42618,,337,312,312,2013-12-18,-72.34505155783796,42.65580270977554,040400
M_130293_934268,130292.95880000,934268.02200000,PC,992054,329,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,329,329,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.3501597679198,42.655865834684356,040400
M_128816_930527,128816.35480000,930526.83660000,BC,991859,26,DUSTY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,26,26,,,,,,,,,DUSTY,ROAD,RD,,,42563,,337,312,312,2013-12-18,-72.36770331652679,42.62205510989278,040400
M_130532_934152,130531.71780000,934151.57540000,BC,991860,26,SOUTH HOLDEN ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,26,26,,,,,,,SOUTH,,HOLDEN,ROAD,RD,,,42624,,337,312,312,2013-12-18,-72.3472339053075,42.654839011779565,040400
M_133743_936662,133742.93180000,936662.15480000,BC,992086,91,HASTINGS HEIGHTS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,91,91,,,,,,,,,HASTINGS HEIGHTS,ROAD,RD,,,42573,,337,312,312,2013-12-18,-72.30836257054992,42.67771882027947,040400
M_131014_940006,131013.95600000,940006.19160000,BMP,991824,70,ROBBINS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,70,70,,,,,,,,,ROBBINS,ROAD,RD,,,42613,,337,312,312,2013-12-18,-72.34205779862675,42.7075826358062,040400
M_131831_935882,131830.56680000,935881.74080000,BMP,991893,75,ECHO PARK ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,75,75,,,,,,,,,ECHO PARK,ROAD,RD,,,42565,,337,312,312,2013-12-18,-72.331599899561,42.67052835360586,040400
M_130573_933787,130572.62760000,933787.11060000,BMP,991942,424,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,424,424,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.34669088101475,42.65156189101971,040400
M_131588_935651,131587.93040000,935650.65360000,BC,992158,10,ECHO PARK ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,10,10,,,,,,,,,ECHO PARK,ROAD,RD,,,42565,,337,312,312,2013-12-18,-72.33453205551375,42.66842686689986,040400
M_130329_934236,130329.00800000,934236.03940000,BC,991935,336,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,336,336,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.34971624871464,42.65558117307942,040400
M_131229_937500,131228.59660000,937500.37520000,BC,991988,29,WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,29,29,,,,,,,,,WINCHESTER,ROAD,RD,,,42644,,337,312,312,2013-12-18,-72.33913712227952,42.68504553780801,040400
M_133246_937194,133245.74080000,937194.17700000,BMP,991864,321,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,321,321,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.31449011049531,42.68246528911201,040400
M_129747_930986,129746.76380000,930986.00080000,BMP,992217,909,WENDELL ROAD,,WAGON WHEEL CAMPGROUND,,,,,,01378,,WARWICK,WARWICK,MA,,909,909,,,,,,,,,WENDELL,ROAD,RD,,,42637,16952,337,312,312,2013-12-18,-72.35641892451427,42.62627301526675,040400
M_134651_934445,134650.86420000,934445.47300000,BMP,991869,456,GALE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,456,456,,,,,,,,,GALE,ROAD,RD,,,42570,,337,312,312,2013-12-18,-72.2970333796336,42.65784197598577,040400
M_132081_936319,132080.99240000,936319.19600000,BC,991829,88,HASTINGS POND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,88,88,,,,,,,,,HASTINGS POND,ROAD,RD,,,42574,,337,312,312,2013-12-18,-72.32859698590241,42.6744880861832,040400
M_132999_938282,132999.30660000,938282.39460000,BC,991785,138,RICHMOND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,138,138,,,,,,,,,RICHMOND,ROAD,RD,,,42611,,337,312,312,2013-12-18,-72.31762402171317,42.69223972633833,040400
M_133011_938166,133010.86380000,938165.70960000,BC,992036,132,RICHMOND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,132,132,,,,,,,,,RICHMOND,ROAD,RD,,,42611,,337,312,312,2013-12-18,-72.31746934890451,42.69119037759349,040400
M_131131_936770,131130.99840000,936769.76560000,BC,991817,56,NORTHFIELD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,56,56,,,,,,,,,NORTHFIELD,ROAD,RD,,,42594,,337,312,312,2013-12-18,-72.34024010667146,42.67846026512396,040400
M_131189_936778,131189.32020000,936777.95880000,BMP,991948,45,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,45,45,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33952957810595,42.678539186319036,040400
M_131206_936737,131205.79580000,936736.59380000,BC,991758,51,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,51,51,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33932361343541,42.67816829608606,040400
M_133195_941052,133195.00160000,941052.04520000,BMP,991760,519,RICHMOND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,519,519,,,,,,,,,RICHMOND,ROAD,RD,,,42611,,337,312,312,2013-12-18,-72.31555921527463,42.717187637328486,040400
M_134282_937472,134282.16780000,937472.08000000,BMP,992101,145,CHASE HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,145,145,,,,,,,,,CHASE HILL,ROAD,RD,,,42559,,337,312,312,2013-12-18,-72.30187695961244,42.68505525595807,040400
M_130708_934235,130708.17320000,934234.86260000,BMP,992031,10,SAMMY LANE,,,,,,,,01378,,WARWICK,WARWICK,MA,,10,10,,,,,,,,,SAMMY,LANE,LN,,,42618,,337,312,312,2013-12-18,-72.34509206313409,42.655604489786015,040400
M_133690_936780,133689.85820000,936779.70420000,BC,992081,83,HASTINGS HEIGHTS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,83,83,,,,,,,,,HASTINGS HEIGHTS,ROAD,RD,,,42573,,337,312,312,2013-12-18,-72.30902365309636,42.67877242311122,040400
M_131054_937275,131054.18800000,937274.73500000,BMP,991810,45,MOUNT GRACE AVENUE,,,,,,,,01378,,WARWICK,WARWICK,MA,,45,45,,,,,,,,,MOUNT GRACE,AVENUE,AVE,,,42591,,337,312,312,2013-12-18,-72.34123793593452,42.68299896146857,040400
M_131204_936853,131204.30940000,936853.15880000,BMP,991748,35,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,35,35,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33935574131804,42.67921743195074,040400
M_131306_937198,131306.08240000,937198.49520000,BC,992164,12,ATHOL ROAD,,,WARWICK TOWN HALL/POLICE STATION,,,,,01378,,WARWICK,WARWICK,MA,,12,12,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.33815552005946,42.68233500733531,040400
M_129513_930731,129512.87300000,930730.84660000,BC,991794,21,QUARRY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,21,21,,,,,,,,,QUARRY,ROAD,RD,,,42608,,337,312,312,2013-12-18,-72.35923863489342,42.62395501935986,040400
M_132640_937498,132640.25640000,937497.51980000,BMP,991981,230,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,230,230,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.32191302800179,42.68514356771989,040400
M_131958_937702,131957.57600000,937701.68280000,BC,991822,66,OLD WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,66,66,,,,,,,,,OLD WINCHESTER,ROAD,RD,,,42603,,337,312,312,2013-12-18,-72.33026671177065,42.6869218350149,040400
M_128745_930524,128745.43700000,930524.20680000,BC,991994,34,DUSTY ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,34,34,,,,,,,,,DUSTY,ROAD,RD,,,42563,,337,312,312,2013-12-18,-72.36856739313912,42.62202493963218,040400
M_132171_937412,132170.50880000,937411.79440000,BMP,991844,135,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,135,135,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.32763430685166,42.6843310165096,040400
M_129180_939923,129180.42840000,939923.01320000,BMP,991937,347,FLOWER HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,347,347,,,,,,,,,FLOWER HILL,ROAD,RD,,,42568,,337,312,312,2013-12-18,-72.36442641085452,42.706668803616736,040400
M_133789_936492,133789.23300000,936491.89520000,BMP,991975,111,HASTINGS HEIGHTS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,111,111,,,,,,,,,HASTINGS HEIGHTS,ROAD,RD,,,42573,,337,312,312,2013-12-18,-72.30777803986302,42.676190159607465,040400
M_133155_937252,133154.53920000,937252.49100000,BC,992183,315,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,315,315,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.31560962596993,42.6829823622532,040400
M_130674_934107,130674.30120000,934106.81940000,BC,991811,45,SOUTH HOLDEN ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,45,45,,,,,,,SOUTH,,HOLDEN,ROAD,RD,,,42624,,337,312,312,2013-12-18,-72.34548966432996,42.65444887090564,040400
M_130182_935779,130182.21820000,935779.20560000,PC,991916,15,CHESTNUT HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,15,15,,,,,,,,,CHESTNUT HILL,ROAD,RD,,,42560,,337,312,312,2013-12-18,-72.35169431782927,42.66945895957898,040400
M_130717_934223,130717.43840000,934223.09520000,BMP,991897,8,SAMMY LANE,,,,,,,,01378,,WARWICK,WARWICK,MA,,8,8,,,,,,,,,SAMMY,LANE,LN,,,42618,,337,312,312,2013-12-18,-72.34497764926267,42.65549939034757,040400
M_130098_940342,130098.16700000,940341.77800000,BMP,991757,505,WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,505,505,,,,,,,,,WINCHESTER,ROAD,RD,,,42644,,337,312,312,2013-12-18,-72.35327634228655,42.71052148054159,040400
M_131704_938641,131703.67640000,938640.85620000,BC,992045,244,OLD WINCHESTER ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,244,244,,,,,,,,,OLD WINCHESTER,ROAD,RD,,,42603,,337,312,312,2013-12-18,-72.333476625044,42.69535354905919,040400
M_133561_937276,133561.34320000,937276.46020000,BMP,991940,4,HASTINGS HEIGHTS ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,4,4,,,,,,,,,HASTINGS HEIGHTS,ROAD,RD,,,42573,,337,312,312,2013-12-18,-72.3106491182242,42.68323303277596,040400
M_129776_935508,129776.08480000,935507.68880000,BMP,991735,171,SHEPARDSON ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,171,171,,,,,,,,,SHEPARDSON,ROAD,RD,,,42621,,337,312,312,2013-12-18,-72.35661506989013,42.66697826839765,040400
M_130042_938176,130042.13660000,938176.42460000,BC,992226,0,MOUNT GRACE AVENUE,OFF,,,,,,,01378,,WARWICK,WARWICK,MA,,0,0,,,,,,,,,MOUNT GRACE,AVENUE,AVE,,,42591,,337,312,312,2013-12-18,-72.35369570837823,42.69102503405026,040400
M_130708_934133,130707.57300000,934132.89340000,BMP,992131,55,SOUTH HOLDEN ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,55,55,,,,,,,SOUTH,,HOLDEN,ROAD,RD,,,42624,,337,312,312,2013-12-18,-72.3450870616706,42.654686547532826,040400
M_131228_937206,131227.50120000,937206.26060000,BMP,992030,1,ORANGE ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,1,1,,,,,,,,,ORANGE,ROAD,RD,,,42604,,337,312,312,2013-12-18,-72.33911518358545,42.682397953058086,040400
M_130300_935503,130299.62340000,935503.35240000,BMP,991814,5,CHESTNUT HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,5,5,,,,,,,,,CHESTNUT HILL,ROAD,RD,,,42560,,337,312,312,2013-12-18,-72.35022866632148,42.66698638777983,040400
M_133216_940502,133216.21480000,940501.57880000,BMP,992199,443,RICHMOND ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,443,443,,,,,,,,,RICHMOND,ROAD,RD,,,42611,,337,312,312,2013-12-18,-72.31523603193389,42.71223444797177,040400
M_130005_934902,130004.94060000,934902.24200000,BC,991959,82,SHEPARDSON ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,82,82,,,,,,,,,SHEPARDSON,ROAD,RD,,,42621,,337,312,312,2013-12-18,-72.35374967586596,42.66154893913759,040400
M_130781_936487,130780.80140000,936486.97340000,BMP,991835,0,NORTHFIELD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,0,0,,,,,,,,,NORTHFIELD,ROAD,RD,,,42594,,337,312,312,2013-12-18,-72.34447826824574,42.67588355969419,040400
M_134421_937104,134420.61580000,937103.61120000,BMP,992209,74,CHASE HILL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,74,74,,,,,,,,,CHASE HILL,ROAD,RD,,,42559,,337,312,312,2013-12-18,-72.30014556689989,42.68175015430357,040400
M_128118_938783,128118.01440000,938783.18320000,BC,991884,575,NORTHFIELD ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,575,575,,,,,,,,,NORTHFIELD,ROAD,RD,,,42594,,337,312,312,2013-12-18,-72.3772502840514,42.696311021865064,040400
M_133123_937388,133122.77760000,937387.92180000,BMP,991742,296,ATHOL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,296,296,,,,,,,,,ATHOL,ROAD,RD,,,42550,,337,312,312,2013-12-18,-72.3160129472098,42.684198718261385,040400
M_130304_934356,130303.73740000,934356.45340000,BC,992053,309,WENDELL ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,309,309,,,,,,,,,WENDELL,ROAD,RD,,,42637,,337,312,312,2013-12-18,-72.35003906681881,42.656662827460416,040400
M_132070_934410,132069.54520000,934410.30240000,BMP,991796,24,KIRK ROAD,,,,,,,,01378,,WARWICK,WARWICK,MA,,24,24,,,,,,,,,KIRK,ROAD,RD,,,42581,,337,312,312,2013-12-18,-72.3285104321565,42.65730396231891,040400
